,0
-20799.2367927,29697.3792798
-21812.6865121,30110.8181731
-23036.9620019,30312.0063792
-24004.4596186,30288.935682
-25239.8976192,30419.9762393
-26623.8263352,30628.4845782
-27548.6059571,30571.2195127
-28468.8048905,30824.18799
-30307.2532822,31485.499368
-32263.0847994,32327.3282061
-33747.1701553,32880.8524452
-35239.9409686,33287.1180803
-36722.8366808,33586.6331523
-38166.7687546,33698.1235713
-39339.8584305,34362.7897999
-40847.4016119,35203.7513254
-42072.5230645,35647.5768811
-42674.2675891,35329.1410501
-42209.6896203,34365.0898691
-41029.0213537,33205.5042673
-39842.3914168,32592.3411132
-38685.9290475,32272.0757109
-37304.2935084,31452.9054172
-35734.8757319,30311.0228874
-34144.9413813,29087.7224753
-32542.2117837,28082.4611503
-30937.6199185,27171.3322721
-29420.0501782,26141.2067552
-28004.4567803,25027.0235629
-26757.2517064,24380.6513829
-25548.7630641,24215.9804389
-24513.4384646,24112.5397626
-23855.3262961,23944.2178349
-23072.2901271,23402.5257891
-22198.3738793,22582.810995
-21285.7798912,21761.8138308
-20370.2183256,21045.8457305
-19524.5183017,20513.3914471
-18782.1278804,20179.6313669
-18240.5586609,20047.0702437
-17933.6719505,20093.202887
-17527.0970876,19934.3354285
-16930.0378556,19667.0746793
-16525.9093997,19409.7601406
-17332.5366136,19507.844304
-18142.7471524,19657.7678346
-18546.6341383,19718.0959209
-19540.6111338,20269.4702538
-20575.4122604,20738.9952129
-20655.3413349,20516.709299
-20885.9562893,20330.8185323
-22787.3095881,21120.741132
-25753.1228784,22973.9341744
-28704.49251,24945.4509624
-31541.1128675,26792.8696638
-34429.7341063,28564.2439202
-36909.7897038,30145.6788415
-38728.8148996,31476.3288024
-40162.9761556,32760.6361287
-41761.2263991,34486.4266966
-43495.8543869,36370.4191496
-44986.2543963,37979.0180632
-46086.7534629,38967.3097724
-46842.7040849,39255.0533473
-47402.9829472,39191.0858772
-47775.6319501,38927.3650098
-47812.9319825,38446.9946063
-47572.0372396,37807.9046401
-47118.8523564,37199.8758525
-46582.5023667,36982.1673316
-45807.0813398,36688.2438044
-44763.5307919,36221.1340538
-44046.9301692,35872.6504827
-43468.4979087,35758.0566242
-42627.4606626,35608.4479852
-41850.9808859,35494.4700627
-41989.9236106,35488.8147519
-42914.9843862,35672.7565274
-44036.6799936,35905.0085554
-45273.8714352,36497.7182995
-46593.1956877,37249.2635601
-47612.9430918,37807.4773835
-48096.1371974,37798.2124418
-48272.7674064,37452.0448667
-48431.243609,37386.9466246
-48520.8165432,37660.5236697
-48386.6547478,37740.8078019
-47818.3353617,37357.8955181
-46816.0685546,36501.7427488
-45764.9382526,35657.9075161
-44458.8853465,34646.2194448
-42799.6357544,33453.4732018
-40918.3372659,32135.2353184
-38977.5503581,30785.1607465
-37017.7183529,29466.0179752
-35014.2590094,28256.4327828
-32954.9910026,27209.1558233
-30996.775768,26426.8360398
-29061.1458337,25950.1626259
-27098.6108958,25740.6807607
-25385.3744384,25379.5155115
-23913.489748,24999.7953669
-22628.7804011,24392.1755871
-21453.8525317,23679.8342921
-20433.3253963,23004.3820152
-19502.3173245,22473.4041992
-18579.2953757,22093.0097291
-17696.7026555,21603.6359647
-16844.1058407,20880.1355772
-16027.0067223,20035.805454
-15240.805389,19293.4812803
-14495.8133371,18488.5667869
-13786.34962,17672.0043322
-13111.5890382,16845.3635266
-12447.0533243,16058.2139779
-11837.0861841,15338.8220086
-11258.377666,14667.0395329
-10713.7185635,14014.0146174
-10195.8093051,13386.4286712
-9694.73329399,12771.7530628
-9217.12357792,12181.4877381
-8772.68432111,11631.8752085
-8361.65363934,11116.519707
-7965.71451072,10625.2341727
-7572.73602426,10278.3103208
-7204.25919025,9894.56294584
-6859.47577436,9489.07470318
-6540.09507732,9092.26512843
-6223.72267029,8700.80310927
